Frequency (Hz)	Level (dB)
0.732422	-92.941628
1.464844	-103.807983
2.197266	-99.958847
2.929688	-97.107246
3.662109	-94.052750
4.394531	-87.818718
5.126953	-87.586617
5.859375	-89.904602
6.591797	-89.758743
7.324219	-91.386124
8.056641	-90.909035
8.789063	-90.252960
9.521484	-86.723145
10.253906	-83.924103
10.986328	-81.857277
11.718750	-81.867508
12.451172	-85.432190
13.183594	-84.048874
13.916016	-80.475975
14.648438	-76.690567
15.380859	-77.524452
16.113281	-74.634392
16.845703	-69.029213
17.578125	-65.488983
18.310547	-65.631805
19.042969	-68.439980
19.775391	-69.716690
20.507813	-71.310623
21.240234	-70.851822
21.972656	-71.473763
22.705078	-69.811333
23.437500	-70.266312
24.169922	-75.828827
24.902344	-79.145538
25.634766	-78.656784
26.367188	-74.697548
27.099609	-71.913094
27.832031	-71.464691
28.564453	-69.363693
29.296875	-65.998611
30.029297	-63.782059
30.761719	-64.355354
31.494141	-63.849133
32.226563	-67.186577
32.958984	-71.078735
33.691406	-74.753609
34.423828	-71.086121
35.156250	-71.076172
35.888672	-73.250824
36.621094	-70.447449
37.353516	-68.287621
38.085938	-67.487633
38.818359	-69.704628
39.550781	-74.307930
40.283203	-73.746170
41.015625	-73.260803
41.748047	-74.366249
42.480469	-76.711288
43.212891	-76.604546
43.945313	-75.628799
44.677734	-74.394905
45.410156	-73.314102
46.142578	-73.365959
46.875000	-76.675751
47.607422	-83.070869
48.339844	-83.386032
49.072266	-81.862289
49.804688	-78.110466
50.537109	-75.387001
51.269531	-72.557404
52.001953	-71.683624
52.734375	-74.149269
53.466797	-75.545326
54.199219	-76.324974
54.931641	-77.712204
55.664063	-78.387581
56.396484	-79.316376
57.128906	-81.609314
57.861328	-85.715271
58.593750	-84.968140
59.326172	-80.464188
60.058594	-77.292038
60.791016	-78.122284
61.523438	-78.592293
62.255859	-80.230591
62.988281	-78.974388
63.720703	-78.202911
64.453125	-79.888634
65.185547	-79.357956
65.917969	-78.915527
66.650391	-79.004028
67.382813	-80.560669
68.115234	-82.381790
68.847656	-83.029617
69.580078	-83.452904
70.312500	-80.395370
71.044922	-81.435730
71.777344	-84.314445
72.509766	-85.322372
73.242188	-85.603790
73.974609	-86.357376
74.707031	-85.228889
75.439453	-85.165970
76.171875	-84.132950
76.904297	-84.410324
77.636719	-84.177689
78.369141	-84.300636
79.101563	-83.893326
79.833984	-84.621933
80.566406	-85.591942
81.298828	-84.059273
82.031250	-81.564316
82.763672	-81.734726
83.496094	-83.793236
84.228516	-84.268242
84.960938	-84.708656
85.693359	-84.685501
86.425781	-83.441833
87.158203	-82.495834
87.890625	-83.452034
88.623047	-81.440498
89.355469	-79.742401
90.087891	-78.920578
90.820313	-78.457909
91.552734	-77.086014
92.285156	-77.373306
93.017578	-79.781982
93.750000	-79.018341
94.482422	-77.841949
95.214844	-78.156723
95.947266	-75.838692
96.679688	-76.182892
97.412109	-77.979263
98.144531	-79.082314
98.876953	-76.924385
99.609375	-77.591637
100.341797	-76.303932
101.074219	-73.767990
101.806641	-72.491486
102.539063	-71.455513
103.271484	-72.051506
104.003906	-73.711098
104.736328	-72.686813
105.468750	-70.696968
106.201172	-69.867027
106.933594	-70.018295
107.666016	-69.730682
108.398438	-68.734993
109.130859	-69.180008
109.863281	-71.197800
110.595703	-70.536331
111.328125	-70.758911
112.060547	-71.475212
112.792969	-72.676064
113.525391	-73.972282
114.257813	-74.394684
114.990234	-75.841629
115.722656	-77.493736
116.455078	-77.843330
117.187500	-76.296013
117.919922	-76.953873
118.652344	-72.449966
119.384766	-60.513832
120.117188	-57.072376
120.849609	-64.441467
121.582031	-71.335976
122.314453	-72.598846
123.046875	-73.755394
123.779297	-72.657730
124.511719	-71.619827
125.244141	-72.114929
125.976563	-73.501717
126.708984	-73.891403
127.441406	-74.363510
128.173828	-73.258636
128.906250	-73.143784
129.638672	-73.637962
130.371094	-71.050621
131.103516	-71.172264
131.835938	-70.008247
132.568359	-73.349174
133.300781	-75.919205
134.033203	-75.330032
134.765625	-75.144745
135.498047	-73.694893
136.230469	-72.349960
136.962891	-64.293823
137.695313	-59.412395
138.427734	-59.548061
139.160156	-70.416191
139.892578	-72.616867
140.625000	-73.748550
141.357422	-73.776672
142.089844	-73.534256
142.822266	-74.512947
143.554688	-76.102943
144.287109	-77.435371
145.019531	-75.483795
145.751953	-74.351395
146.484375	-74.217827
147.216797	-73.355286
147.949219	-74.376419
148.681641	-76.014137
149.414063	-74.951363
150.146484	-74.228645
150.878906	-71.737373
151.611328	-71.663368
152.343750	-74.717430
153.076172	-74.966026
153.808594	-73.956917
154.541016	-73.517784
155.273438	-76.307693
156.005859	-74.855408
156.738281	-75.093033
157.470703	-75.477356
158.203125	-76.071785
158.935547	-75.768127
159.667969	-74.198677
160.400391	-71.120544
161.132813	-70.575272
161.865234	-71.788887
162.597656	-70.060165
163.330078	-71.163536
164.062500	-73.843239
164.794922	-75.679306
165.527344	-71.303246
166.259766	-69.301430
166.992188	-69.655319
167.724609	-71.720566
168.457031	-72.344215
169.189453	-73.301994
169.921875	-74.841759
170.654297	-75.273743
171.386719	-73.782295
172.119141	-70.286247
172.851563	-69.552048
173.583984	-68.654419
174.316406	-67.914268
175.048828	-66.641663
175.781250	-65.530998
176.513672	-67.872208
177.246094	-71.219803
177.978516	-72.588753
178.710938	-76.805733
179.443359	-72.852554
180.175781	-71.738846
180.908203	-72.997765
181.640625	-74.655762
182.373047	-73.294441
183.105469	-74.952621
183.837891	-76.076607
184.570313	-73.738274
185.302734	-76.377861
186.035156	-75.597420
186.767578	-74.597755
187.500000	-74.446175
188.232422	-75.289970
188.964844	-74.475296
189.697266	-74.927162
190.429688	-75.684898
191.162109	-73.196419
191.894531	-73.055573
192.626953	-75.372116
193.359375	-74.060181
194.091797	-74.794838
194.824219	-74.591873
195.556641	-74.493134
196.289063	-73.483459
197.021484	-73.499527
197.753906	-74.719917
198.486328	-75.596832
199.218750	-74.236031
199.951172	-73.012733
200.683594	-73.068916
201.416016	-73.543594
202.148438	-73.637192
202.880859	-74.151520
203.613281	-73.410789
204.345703	-74.884995
205.078125	-72.694542
205.810547	-73.914108
206.542969	-74.977455
207.275391	-75.928444
208.007813	-77.157066
208.740234	-77.145065
209.472656	-76.952621
210.205078	-76.746819
210.937500	-75.973259
211.669922	-76.377174
212.402344	-77.547043
213.134766	-79.196930
213.867188	-78.615372
214.599609	-80.075272
215.332031	-79.393509
216.064453	-78.689941
216.796875	-79.974884
217.529297	-79.824966
218.261719	-80.048050
218.994141	-80.114662
219.726563	-80.761841
220.458984	-80.616112
221.191406	-79.146378
221.923828	-79.525978
222.656250	-77.642761
223.388672	-76.734932
224.121094	-76.206490
224.853516	-75.686325
225.585938	-76.320694
226.318359	-77.157104
227.050781	-77.575645
227.783203	-76.020401
228.515625	-77.064606
229.248047	-76.923813
229.980469	-76.174759
230.712891	-77.258797
231.445313	-78.415298
