* Measurement data measured by REW V5.19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 65536-point spectrum using Rectangular window and 30 averages 
* Dated: Jan 12, 2019 11:00:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 65536-point spectrum using Rectangular window and 30 averages Input RMS 18.3 dB, 18.2 dBC, 8.6 dBA
* Measurement: Jan 12 11:00:58
* Smoothing: None
* Frequency Step: 0.7324219 Hz
* Start Frequency: 0.7324219 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
0.732, -41.222, 0
1.465, -41.641, 0
2.197, -41.564, 0
2.930, -40.630, 0
3.662, -41.599, 0
4.395, -41.220, 0
5.127, -41.377, 0
5.859, -41.534, 0
6.592, -41.459, 0
7.324, -41.467, 0
8.057, -41.298, 0
8.789, -41.127, 0
9.521, -41.589, 0
10.254, -41.370, 0
10.986, -41.188, 0
11.719, -40.636, 0
12.451, -40.920, 0
13.184, -40.740, 0
13.916, -40.572, 0
14.648, -41.076, 0
15.381, -40.606, 0
16.113, -41.137, 0
16.846, -40.123, 0
17.578, -40.880, 0
18.311, -40.262, 0
19.043, -39.975, 0
19.775, -40.133, 0
20.508, -39.354, 0
21.240, -39.972, 0
21.973, -40.194, 0
22.705, -39.828, 0
23.438, -38.880, 0
24.170, -38.984, 0
24.902, -39.170, 0
25.635, -39.192, 0
26.367, -39.018, 0
27.100, -38.552, 0
27.832, -38.363, 0
28.564, -37.984, 0
29.297, -37.025, 0
30.029, -36.603, 0
30.762, -37.962, 0
31.494, -37.607, 0
32.227, -38.287, 0
32.959, -35.264, 0
33.691, -35.378, 0
34.424, -35.872, 0
35.156, -36.376, 0
35.889, -36.043, 0
36.621, -36.396, 0
37.354, -36.121, 0
38.086, -33.970, 0
38.818, -34.588, 0
39.551, -34.367, 0
40.283, -32.902, 0
41.016, -32.720, 0
41.748, -33.409, 0
42.480, -33.009, 0
43.213, -31.330, 0
43.945, -33.515, 0
44.678, -34.867, 0
45.410, -32.672, 0
46.143, -35.497, 0
46.875, -33.406, 0
47.607, -34.945, 0
48.340, -35.870, 0
49.072, -33.519, 0
49.805, -33.190, 0
50.537, -33.061, 0
51.270, -32.632, 0
52.002, -33.445, 0
52.734, -33.515, 0
53.467, -32.591, 0
54.199, -33.682, 0
54.932, -32.013, 0
55.664, -30.025, 0
56.396, -32.466, 0
57.129, -32.785, 0
57.861, -34.328, 0
58.594, -31.898, 0
59.326, -30.981, 0
60.059, -29.609, 0
60.791, -29.344, 0
61.523, -30.222, 0
62.256, -28.647, 0
62.988, -29.428, 0
63.721, -27.766, 0
64.453, -28.375, 0
65.186, -27.900, 0
65.918, -26.301, 0
66.650, -26.028, 0
67.383, -28.054, 0
68.115, -26.884, 0
68.848, -27.871, 0
69.580, -26.086, 0
70.312, -26.667, 0
71.045, -23.399, 0
71.777, -25.630, 0
72.510, -23.473, 0
73.242, -23.856, 0
73.975, -24.484, 0
74.707, -24.461, 0
75.439, -23.241, 0
76.172, -23.202, 0
76.904, -22.223, 0
77.637, -22.636, 0
78.369, -24.207, 0
79.102, -21.760, 0
79.834, -23.480, 0
80.566, -22.495, 0
81.299, -21.190, 0
82.031, -21.986, 0
82.764, -21.222, 0
83.496, -20.629, 0
84.229, -21.589, 0
84.961, -22.176, 0
85.693, -19.651, 0
86.426, -20.065, 0
87.158, -20.263, 0
87.891, -18.688, 0
88.623, -20.411, 0
89.355, -18.384, 0
90.088, -17.848, 0
90.820, -18.010, 0
91.553, -15.886, 0
92.285, -16.127, 0
93.018, -16.357, 0
93.750, -15.321, 0
94.482, -14.631, 0
95.215, -15.283, 0
95.947, -13.675, 0
96.680, -13.127, 0
97.412, -14.128, 0
98.145, -13.491, 0
98.877, -13.283, 0
99.609, -11.702, 0
100.342, -12.304, 0
101.074, -11.712, 0
101.807, -11.695, 0
102.539, -11.436, 0
103.271, -11.265, 0
104.004, -10.504, 0
104.736, -8.929, 0
105.469, -8.321, 0
106.201, -7.528, 0
106.934, -6.057, 0
107.666, -4.306, 0
108.398, -2.708, 0
109.131, -3.290, 0
109.863, -3.880, 0
110.596, -4.836, 0
111.328, -7.095, 0
112.061, -4.749, 0
112.793, -4.890, 0
113.525, -4.213, 0
114.258, -3.873, 0
114.990, -4.534, 0
115.723, -5.611, 0
116.455, -5.439, 0
117.188, -4.842, 0
117.920, -6.242, 0
118.652, -5.894, 0
119.385, -5.318, 0
120.117, 0.319, 0
120.850, -5.709, 0
121.582, -5.519, 0
122.314, -7.352, 0
123.047, -5.172, 0
123.779, -5.153, 0
124.512, -5.489, 0
125.244, -6.327, 0
125.977, -6.030, 0
126.709, -7.077, 0
127.441, -7.147, 0
128.174, -7.721, 0
128.906, -5.093, 0
129.639, -7.152, 0
130.371, -5.851, 0
131.104, -5.829, 0
131.836, -5.436, 0
132.568, -5.008, 0
133.301, -5.413, 0
134.033, -4.668, 0
134.766, -5.112, 0
135.498, -5.429, 0
136.230, -5.398, 0
136.963, -1.537, 0
137.695, -1.829, 0
138.428, -2.239, 0
139.160, -4.666, 0
139.893, -4.456, 0
140.625, -5.695, 0
141.357, -5.855, 0
142.090, -4.972, 0
142.822, -5.428, 0
143.555, -5.211, 0
144.287, -5.688, 0
145.020, -5.576, 0
145.752, -6.032, 0
146.484, -6.297, 0
147.217, -5.777, 0
147.949, -5.545, 0
148.682, -7.091, 0
149.414, -5.828, 0
150.146, -5.447, 0
150.879, -5.397, 0
151.611, -3.835, 0
152.344, -3.981, 0
153.076, -1.770, 0
153.809, -3.462, 0
154.541, -4.080, 0
155.273, -2.705, 0
156.006, -5.034, 0
156.738, -5.366, 0
157.471, -5.004, 0
158.203, -4.153, 0
158.936, -4.537, 0
159.668, -5.887, 0
160.400, -3.965, 0
161.133, -3.684, 0
161.865, -3.060, 0
162.598, -2.651, 0
163.330, -0.383, 0
164.062, -0.863, 0
164.795, -0.046, 0
165.527, -0.722, 0
166.260, -0.221, 0
166.992, -0.535, 0
167.725, -2.142, 0
168.457, -2.240, 0
169.189, -2.461, 0
169.922, -4.114, 0
170.654, -6.107, 0
171.387, -4.222, 0
172.119, -4.193, 0
172.852, -4.850, 0
173.584, -5.842, 0
174.316, -6.203, 0
175.049, -4.466, 0
175.781, -6.928, 0
176.514, -6.998, 0
177.246, -6.625, 0
177.979, -6.700, 0
178.711, -8.351, 0
179.443, -6.966, 0
180.176, -6.133, 0
180.908, -5.665, 0
181.641, -7.460, 0
182.373, -5.734, 0
183.105, -5.780, 0
183.838, -3.559, 0
184.570, -2.973, 0
185.303, -3.102, 0
186.035, -2.645, 0
186.768, -2.698, 0
187.500, -2.173, 0
188.232, -0.787, 0
188.965, -3.094, 0
189.697, -2.028, 0
190.430, -5.219, 0
191.162, -4.507, 0
191.895, -6.060, 0
192.627, -6.338, 0
193.359, -7.248, 0
194.092, -8.741, 0
194.824, -7.519, 0
195.557, -7.995, 0
196.289, -10.849, 0
197.021, -8.775, 0
197.754, -6.940, 0
198.486, -4.649, 0
199.219, -6.678, 0
199.951, -6.240, 0
200.684, -5.439, 0
201.416, -7.642, 0
202.148, -8.142, 0
202.881, -9.746, 0
203.613, -7.246, 0
204.346, -7.318, 0
205.078, -8.849, 0
205.811, -6.391, 0
206.543, -8.527, 0
207.275, -6.979, 0
208.008, -6.778, 0
208.740, -8.817, 0
209.473, -8.514, 0
210.205, -8.837, 0
210.938, -8.893, 0
211.670, -8.578, 0
212.402, -9.627, 0
213.135, -9.595, 0
213.867, -10.797, 0
214.600, -9.612, 0
215.332, -10.958, 0
216.064, -10.172, 0
216.797, -10.712, 0
217.529, -9.931, 0
218.262, -10.546, 0
218.994, -9.490, 0
219.727, -9.180, 0
220.459, -9.152, 0
221.191, -10.537, 0
221.924, -10.844, 0
222.656, -9.391, 0
223.389, -8.531, 0
224.121, -9.926, 0
224.854, -8.943, 0
225.586, -11.034, 0
226.318, -11.180, 0
227.051, -11.351, 0
227.783, -10.085, 0
228.516, -12.090, 0
229.248, -10.233, 0
229.980, -9.488, 0
230.713, -9.643, 0
231.445, -6.622, 0
232.178, -9.904, 0
232.910, -10.341, 0
233.643, -8.672, 0
234.375, -9.621, 0
235.107, -9.714, 0
235.840, -10.743, 0
236.572, -9.376, 0
237.305, -9.219, 0
238.037, -8.539, 0
238.770, -8.439, 0
239.502, -5.811, 0
240.234, 0.865, 0
240.967, -5.738, 0
241.699, -7.274, 0
242.432, -7.690, 0
243.164, -6.746, 0
243.896, -8.319, 0
244.629, -7.099, 0
245.361, -9.214, 0
246.094, -9.752, 0
246.826, -8.993, 0
247.559, -10.963, 0
248.291, -9.125, 0
249.023, -10.912, 0
249.756, -9.738, 0
250.488, -8.844, 0
251.221, -8.308, 0
251.953, -9.680, 0
252.686, -11.220, 0
253.418, -10.522, 0
254.150, -10.128, 0
254.883, -11.267, 0
255.615, -10.069, 0
256.348, -9.893, 0
257.080, -8.981, 0
257.812, -9.284, 0
258.545, -12.252, 0
259.277, -14.361, 0
260.010, -12.353, 0
260.742, -11.338, 0
261.475, -13.128, 0
262.207, -14.094, 0
262.939, -15.391, 0
263.672, -14.118, 0
264.404, -13.922, 0
265.137, -15.312, 0
265.869, -15.635, 0
266.602, -13.479, 0
267.334, -13.694, 0
268.066, -13.753, 0
268.799, -13.873, 0
269.531, -11.648, 0
270.264, -13.117, 0
270.996, -14.189, 0
271.729, -12.317, 0
272.461, -12.179, 0
273.193, -13.806, 0
273.926, -14.431, 0
274.658, -12.343, 0
275.391, -12.411, 0
276.123, -12.409, 0
276.855, -11.297, 0
277.588, -14.014, 0
278.320, -16.803, 0
279.053, -14.481, 0
279.785, -15.334, 0
280.518, -15.531, 0
281.250, -16.942, 0
281.982, -13.341, 0
282.715, -13.981, 0
283.447, -14.180, 0
284.180, -13.621, 0
284.912, -14.483, 0
285.645, -15.720, 0
286.377, -14.410, 0
287.109, -14.235, 0
287.842, -15.117, 0
288.574, -16.405, 0
289.307, -17.149, 0
290.039, -15.331, 0
290.771, -16.103, 0
291.504, -14.947, 0
292.236, -14.877, 0
292.969, -15.620, 0
293.701, -12.266, 0
294.434, -16.593, 0
295.166, -16.412, 0
295.898, -16.450, 0
296.631, -15.555, 0
297.363, -16.718, 0
298.096, -16.937, 0
298.828, -17.023, 0
299.561, -16.328, 0
300.293, -14.775, 0
301.025, -15.689, 0
301.758, -16.336, 0
302.490, -15.534, 0
303.223, -15.264, 0
303.955, -15.342, 0
304.688, -19.180, 0
305.420, -17.760, 0
306.152, -17.866, 0
306.885, -19.946, 0
307.617, -19.207, 0
308.350, -17.914, 0
309.082, -17.699, 0
309.814, -16.822, 0
310.547, -18.627, 0
311.279, -17.897, 0
312.012, -15.495, 0
312.744, -16.463, 0
313.477, -15.830, 0
314.209, -16.675, 0
314.941, -16.586, 0
315.674, -16.669, 0
316.406, -16.029, 0
317.139, -15.758, 0
317.871, -17.460, 0
318.604, -15.226, 0
319.336, -17.205, 0
320.068, -15.509, 0
320.801, -18.248, 0
321.533, -14.824, 0
322.266, -17.683, 0
322.998, -15.630, 0
323.730, -15.679, 0
324.463, -16.060, 0
325.195, -16.335, 0
325.928, -15.807, 0
326.660, -16.145, 0
327.393, -19.214, 0
328.125, -17.702, 0
328.857, -18.629, 0
329.590, -17.470, 0
330.322, -16.756, 0
331.055, -15.528, 0
331.787, -17.710, 0
332.520, -15.298, 0
333.252, -15.587, 0
333.984, -16.770, 0
334.717, -14.192, 0
335.449, -14.875, 0
336.182, -14.717, 0
336.914, -17.178, 0
337.646, -17.066, 0
338.379, -17.896, 0
339.111, -18.322, 0
339.844, -18.045, 0
340.576, -19.746, 0
341.309, -19.422, 0
342.041, -19.330, 0
342.773, -19.837, 0
343.506, -16.929, 0
344.238, -17.152, 0
344.971, -17.762, 0
345.703, -17.428, 0
346.436, -19.289, 0
347.168, -17.485, 0
347.900, -18.011, 0
348.633, -15.840, 0
349.365, -16.956, 0
350.098, -16.301, 0
350.830, -16.890, 0
351.562, -16.238, 0
352.295, -17.164, 0
353.027, -19.631, 0
353.760, -19.384, 0
354.492, -18.739, 0
355.225, -18.234, 0
355.957, -18.598, 0
356.689, -19.476, 0
357.422, -18.523, 0
358.154, -19.365, 0
358.887, -18.423, 0
359.619, -18.574, 0
360.352, -17.294, 0
361.084, -18.534, 0
361.816, -17.423, 0
362.549, -17.608, 0
363.281, -17.924, 0
364.014, -18.832, 0
364.746, -16.369, 0
365.479, -17.335, 0
366.211, -18.979, 0
366.943, -18.281, 0
367.676, -19.533, 0
368.408, -19.365, 0
369.141, -19.101, 0
369.873, -18.529, 0
370.605, -17.916, 0
371.338, -18.823, 0
372.070, -17.295, 0
372.803, -20.417, 0
373.535, -20.047, 0
374.268, -20.093, 0
375.000, -20.807, 0
375.732, -20.403, 0
376.465, -20.475, 0
377.197, -18.827, 0
377.930, -20.886, 0
378.662, -20.277, 0
379.395, -21.669, 0
380.127, -19.984, 0
380.859, -21.311, 0
381.592, -19.623, 0
382.324, -20.395, 0
383.057, -19.231, 0
383.789, -18.806, 0
384.521, -21.345, 0
385.254, -17.406, 0
385.986, -18.573, 0
386.719, -19.345, 0
387.451, -18.533, 0
388.184, -20.872, 0
388.916, -21.769, 0
389.648, -19.485, 0
390.381, -19.024, 0
391.113, -18.026, 0
391.846, -17.616, 0
392.578, -19.164, 0
393.311, -18.747, 0
394.043, -20.260, 0
394.775, -19.434, 0
395.508, -20.180, 0
396.240, -20.485, 0
396.973, -18.355, 0
397.705, -20.709, 0
398.438, -19.309, 0
399.170, -19.513, 0
399.902, -19.108, 0
400.635, -18.207, 0
401.367, -17.250, 0
402.100, -18.786, 0
402.832, -17.494, 0
403.564, -17.485, 0
404.297, -17.776, 0
405.029, -19.226, 0
405.762, -19.078, 0
406.494, -17.971, 0
407.227, -17.877, 0
407.959, -18.563, 0
408.691, -20.417, 0
409.424, -20.637, 0
410.156, -21.611, 0
410.889, -21.663, 0
411.621, -20.644, 0
412.354, -20.486, 0
413.086, -20.480, 0
413.818, -21.308, 0
414.551, -19.252, 0
415.283, -20.129, 0
416.016, -20.092, 0
416.748, -19.940, 0
