Frequency (Hz)	Level (dB)
0.732422	-89.554207
1.464844	-96.259186
2.197266	-92.702744
2.929688	-90.264755
3.662109	-88.271553
4.394531	-85.017334
5.126953	-83.230461
5.859375	-85.120239
6.591797	-86.310043
7.324219	-84.201149
8.056641	-85.165489
8.789063	-86.464951
9.521484	-83.127472
10.253906	-80.678986
10.986328	-79.017670
11.718750	-76.810966
12.451172	-79.664703
13.183594	-81.619659
13.916016	-77.983582
14.648438	-72.639099
15.380859	-70.749870
16.113281	-68.621254
16.845703	-65.743095
17.578125	-64.325798
18.310547	-64.289459
19.042969	-65.760345
19.775391	-65.698929
20.507813	-69.029922
21.240234	-71.051331
21.972656	-70.848030
22.705078	-69.504913
23.437500	-69.168953
24.169922	-73.198822
24.902344	-76.563721
25.634766	-76.608780
26.367188	-72.154503
27.099609	-69.684105
27.832031	-68.519249
28.564453	-64.850197
29.296875	-60.532173
30.029297	-60.685471
30.761719	-63.501743
31.494141	-64.217659
32.226563	-65.025818
32.958984	-66.702065
33.691406	-71.091820
34.423828	-67.607452
35.156250	-66.913010
35.888672	-70.460037
36.621094	-67.709213
37.353516	-65.521606
38.085938	-67.007050
38.818359	-69.467278
39.550781	-71.062775
40.283203	-70.020851
41.015625	-69.843483
41.748047	-71.522743
42.480469	-77.100777
43.212891	-77.379112
43.945313	-75.703873
44.677734	-74.990814
45.410156	-71.529900
46.142578	-69.942734
46.875000	-74.316269
47.607422	-80.199425
48.339844	-80.683952
49.072266	-78.850235
49.804688	-76.986626
50.537109	-77.335823
51.269531	-77.835892
52.001953	-78.616188
52.734375	-77.618729
53.466797	-76.406677
54.199219	-77.193825
54.931641	-81.146454
55.664063	-81.343277
56.396484	-80.995438
57.128906	-82.293289
57.861328	-82.014168
58.593750	-81.206291
59.326172	-76.576500
60.058594	-73.032234
60.791016	-76.556412
61.523438	-74.151115
62.255859	-74.031342
62.988281	-74.643166
63.720703	-75.317856
64.453125	-74.364326
65.185547	-75.318398
65.917969	-74.140205
66.650391	-74.023956
67.382813	-74.327675
68.115234	-71.600533
68.847656	-72.179001
69.580078	-74.378998
70.312500	-78.033806
71.044922	-79.291824
71.777344	-78.978165
72.509766	-77.110497
73.242188	-77.317627
73.974609	-77.070007
74.707031	-75.166061
75.439453	-77.032669
76.171875	-77.202103
76.904297	-78.234215
77.636719	-81.025475
78.369141	-80.354630
79.101563	-82.118576
79.833984	-80.887970
80.566406	-75.812904
81.298828	-76.051025
82.031250	-78.525269
82.763672	-79.103600
83.496094	-79.971046
84.228516	-78.592018
84.960938	-79.366714
85.693359	-75.850235
86.425781	-73.656319
87.158203	-75.195015
87.890625	-76.135788
88.623047	-77.444336
89.355469	-74.181122
90.087891	-70.503571
90.820313	-71.620575
91.552734	-73.283020
92.285156	-72.748581
93.017578	-73.229431
93.750000	-74.039314
94.482422	-72.256676
95.214844	-73.229439
95.947266	-71.045044
96.679688	-70.815407
97.412109	-72.061455
98.144531	-72.614204
98.876953	-73.339012
99.609375	-72.701614
100.341797	-73.178467
101.074219	-68.709457
101.806641	-64.715240
102.539063	-64.390457
103.271484	-66.675087
104.003906	-68.321533
104.736328	-67.887207
105.468750	-67.683105
106.201172	-65.569107
106.933594	-64.349518
107.666016	-64.578293
108.398438	-64.666779
109.130859	-64.237602
109.863281	-65.258614
110.595703	-67.814285
111.328125	-68.521042
112.060547	-69.017563
112.792969	-72.200745
113.525391	-71.129761
114.257813	-71.606270
114.990234	-71.902580
115.722656	-72.824127
116.455078	-74.178513
117.187500	-72.399719
117.919922	-71.470612
118.652344	-69.907814
119.384766	-55.975410
120.117188	-52.002209
120.849609	-59.580448
121.582031	-69.428787
122.314453	-71.268234
123.046875	-72.294075
123.779297	-72.308319
124.511719	-72.773148
125.244141	-71.411621
125.976563	-72.230614
126.708984	-75.957870
127.441406	-75.329887
128.173828	-74.255424
128.906250	-73.874611
129.638672	-71.922012
130.371094	-70.783623
131.103516	-66.434189
131.835938	-65.551529
132.568359	-69.398331
133.300781	-72.640816
134.033203	-74.641907
134.765625	-69.669640
135.498047	-68.107758
136.230469	-71.378906
136.962891	-63.866673
137.695313	-54.815601
138.427734	-53.805141
139.160156	-65.414749
139.892578	-71.101913
140.625000	-70.817284
141.357422	-72.816910
142.089844	-72.691452
142.822266	-70.790482
143.554688	-70.383263
144.287109	-71.535965
145.019531	-72.988396
145.751953	-73.483444
146.484375	-71.496269
147.216797	-69.783669
147.949219	-70.930832
148.681641	-69.466873
149.414063	-70.070076
150.146484	-69.215134
150.878906	-71.367744
151.611328	-70.246849
152.343750	-70.426361
153.076172	-70.790268
153.808594	-71.046753
154.541016	-68.255417
155.273438	-69.721008
156.005859	-71.702919
156.738281	-69.493019
157.470703	-69.461784
158.203125	-70.495377
158.935547	-69.373466
159.667969	-68.719429
160.400391	-68.169594
161.132813	-68.411919
161.865234	-68.974442
162.597656	-68.981110
163.330078	-68.678513
164.062500	-69.300316
164.794922	-69.677620
165.527344	-69.302368
166.259766	-69.474358
166.992188	-70.504387
167.724609	-70.314445
168.457031	-71.049370
169.189453	-72.466866
169.921875	-72.945351
170.654297	-74.820244
171.386719	-72.527290
172.119141	-71.697983
172.851563	-73.100464
173.583984	-70.423622
174.316406	-69.159485
175.048828	-69.915833
175.781250	-70.827614
176.513672	-72.858833
177.246094	-73.641441
177.978516	-74.099419
178.710938	-75.479156
179.443359	-74.779427
180.175781	-74.498199
180.908203	-75.071678
181.640625	-73.811050
182.373047	-74.975189
183.105469	-73.805313
183.837891	-71.511703
184.570313	-73.052460
185.302734	-71.378571
186.035156	-71.044113
186.767578	-73.051216
187.500000	-73.976883
188.232422	-73.298950
188.964844	-70.812378
189.697266	-70.312485
190.429688	-72.181564
191.162109	-72.756790
191.894531	-71.849548
192.626953	-71.561707
193.359375	-74.008308
194.091797	-73.096672
194.824219	-74.049927
195.556641	-73.752289
196.289063	-73.638924
197.021484	-75.070496
197.753906	-72.870430
198.486328	-72.841095
199.218750	-74.738792
199.951172	-76.301521
200.683594	-75.053589
201.416016	-74.930481
202.148438	-72.254654
202.880859	-73.007744
203.613281	-73.676132
204.345703	-74.982819
205.078125	-71.251511
205.810547	-69.784523
206.542969	-72.132553
207.275391	-69.957878
208.007813	-70.158134
208.740234	-71.852013
209.472656	-72.064789
210.205078	-74.944756
210.937500	-77.879959
211.669922	-79.004723
212.402344	-80.173882
213.134766	-79.133499
213.867188	-78.149239
214.599609	-79.465561
215.332031	-78.497025
216.064453	-80.842567
216.796875	-80.716660
217.529297	-78.033951
218.261719	-79.061333
218.994141	-80.816696
219.726563	-80.226280
220.458984	-81.953247
221.191406	-78.625725
221.923828	-75.079964
222.656250	-75.496040
223.388672	-75.106209
224.121094	-75.532822
224.853516	-76.296875
225.585938	-76.378723
226.318359	-76.709717
227.050781	-77.959663
227.783203	-76.817131
228.515625	-75.384117
229.248047	-73.929924
229.980469	-73.679420
230.712891	-77.284248
231.445313	-81.049271
232.177734	-80.214890
232.910156	-81.152672
233.642578	-83.798149
234.375000	-81.850655
235.107422	-80.239822
235.839844	-79.577240
236.572266	-77.862289
237.304688	-77.335915
238.037109	-75.319374
238.769531	-74.391113
239.501953	-71.040596
240.234375	-69.541153
240.966797	-74.389290
241.699219	-74.187737
242.431641	-74.554024
243.164063	-75.164360
243.896484	-76.300323
244.628906	-77.626083
245.361328	-78.323235
246.093750	-78.035835
246.826172	-78.057320
247.558594	-79.508209
248.291016	-80.474251
249.023438	-78.537102
249.755859	-76.843964
250.488281	-76.174225
251.220703	-75.713531
251.953125	-75.668373
252.685547	-76.346916
253.417969	-75.183762
254.150391	-73.479179
254.882813	-74.632339
255.615234	-77.485771
256.347656	-76.951157
257.080078	-74.147163
257.812500	-74.332237
258.544922	-76.879471
259.277344	-79.409691
260.009766	-78.185036
260.742188	-76.828094
261.474609	-77.202087
262.207031	-78.569504
262.939453	-75.310349
263.671875	-73.374725
264.404297	-75.434090
265.136719	-75.640915
265.869141	-76.054756
266.601563	-75.211868
267.333984	-74.175659
268.066406	-75.077461
268.798828	-77.039833
269.531250	-75.660645
270.263672	-72.956459
270.996094	-71.047821
271.728516	-74.357140
272.460938	-79.308495
273.193359	-79.183441
273.925781	-78.484749
274.658203	-78.774467
275.390625	-79.159042
276.123047	-79.329079
276.855469	-80.448761
277.587891	-79.747650
278.320313	-80.057961
279.052734	-79.681168
279.785156	-78.978325
280.517578	-79.158310
281.250000	-81.159546
281.982422	-82.298447
282.714844	-82.490150
283.447266	-81.907211
284.179688	-80.979416
284.912109	-81.456245
285.644531	-83.427025
286.376953	-83.461273
287.109375	-83.517303
287.841797	-83.125404
288.574219	-83.551826
289.306641	-82.482506
290.039063	-83.865005
290.771484	-86.429901
291.503906	-85.504555
292.236328	-83.623741
292.968750	-82.871735
293.701172	-82.722786
294.433594	-83.421906
295.166016	-84.331993
295.898438	-84.480637
296.630859	-85.083214
297.363281	-86.019867
298.095703	-82.601959
298.828125	-81.755302
299.560547	-82.954048
300.292969	-83.350647
301.025391	-84.603874
301.757813	-82.407036
302.490234	-83.362526
303.222656	-81.699471
303.955078	-79.779839
304.687500	-78.995934
305.419922	-81.274216
306.152344	-81.423454
306.884766	-80.536392
307.617188	-82.983322
308.349609	-84.273140
309.082031	-83.455185
309.814453	-85.719894
310.546875	-85.248947
311.279297	-82.664490
312.011719	-81.592224
312.744141	-79.673080
313.476563	-79.427292
314.208984	-78.606300
314.941406	-76.767288
315.673828	-74.652046
316.406250	-76.194931
317.138672	-76.958908
317.871094	-75.245903
318.603516	-75.113304
319.335938	-74.785133
320.068359	-75.877319
320.800781	-75.973236
321.533203	-76.356590
322.265625	-76.617737
322.998047	-78.642479
323.730469	-81.606171
324.462891	-82.877541
325.195313	-83.228775
325.927734	-83.023537
326.660156	-81.752914
327.392578	-79.278770
328.125000	-78.511063
328.857422	-78.646759
329.589844	-78.845787
330.322266	-78.527985
331.054688	-82.133842
331.787109	-81.888260
332.519531	-85.279320
333.251953	-85.180046
333.984375	-83.448776
334.716797	-83.020432
335.449219	-84.234253
336.181641	-83.797134
336.914063	-79.499100
337.646484	-75.694717
338.378906	-72.029648
339.111328	-74.527405
339.843750	-80.790916
340.576172	-84.689835
341.308594	-83.418800
342.041016	-83.048874
342.773438	-82.516098
343.505859	-82.854790
344.238281	-84.612045
344.970703	-86.357040
345.703125	-84.870766
346.435547	-85.302246
347.167969	-85.511703
347.900391	-86.388885
348.632813	-84.769997
349.365234	-84.028969
350.097656	-80.850304
350.830078	-80.596535
351.562500	-83.831940
352.294922	-85.066833
353.027344	-85.278702
353.759766	-85.643204
354.492188	-84.669281
355.224609	-85.255859
355.957031	-83.307808
356.689453	-84.893608
357.421875	-84.330925
358.154297	-83.368286
358.886719	-81.968056
359.619141	-78.859947
360.351563	-78.899887
361.083984	-80.484344
361.816406	-81.175819
362.548828	-83.949425
363.281250	-84.407990
364.013672	-82.507973
364.746094	-81.558670
365.478516	-83.440765
366.210938	-83.087593
366.943359	-84.887695
367.675781	-83.981682
368.408203	-83.669716
369.140625	-84.588104
369.873047	-83.214096
370.605469	-70.190002
371.337891	-67.600693
372.070313	-65.898758
372.802734	-66.687302
373.535156	-75.058647
374.267578	-83.045174
375.000000	-85.051735
375.732422	-86.605835
376.464844	-86.262779
377.197266	-84.489517
377.929688	-84.570412
378.662109	-83.670448
379.394531	-84.930031
380.126953	-87.277634
380.859375	-85.159439
381.591797	-83.007751
382.324219	-84.827271
383.056641	-84.262054
383.789063	-82.816795
384.521484	-83.544273
385.253906	-82.835815
385.986328	-82.681526
386.718750	-83.681068
387.451172	-80.728210
388.183594	-81.283203
388.916016	-84.744995
389.648438	-84.802917
390.380859	-83.302399
391.113281	-84.549080
391.845703	-84.679062
392.578125	-85.717545
393.310547	-86.653877
394.042969	-88.159737
394.775391	-86.464897
395.507813	-84.932732
396.240234	-87.458054
396.972656	-84.876877
397.705078	-84.578056
398.437500	-84.487465
399.169922	-83.756905
399.902344	-82.271004
400.634766	-81.760658
401.367188	-83.705070
402.099609	-82.864967
402.832031	-81.350395
403.564453	-77.079681
404.296875	-63.196907
405.029297	-59.992645
405.761719	-56.477249
406.494141	-55.345207
407.226563	-62.420486
407.958984	-78.348831
408.691406	-84.111191
409.423828	-85.552437
410.156250	-82.840828
410.888672	-83.253059
411.621094	-83.757034
412.353516	-83.220261
413.085938	-86.164055
413.818359	-87.731880
414.550781	-87.233223
415.283203	-83.963562
416.015625	-83.813690
416.748047	-83.522743
417.480469	-83.037445
418.212891	-83.464714
418.945313	-84.173592
419.677734	-83.769547
420.410156	-86.020027
421.142578	-83.429794
421.875000	-82.878113
422.607422	-81.729805
423.339844	-82.694572
424.072266	-83.458420
424.804688	-81.681923
425.537109	-82.919914
426.269531	-82.233170
427.001953	-83.291130
427.734375	-82.629608
428.466797	-82.735703
429.199219	-82.238571
429.931641	-81.875404
430.664063	-83.290253
431.396484	-85.417831
432.128906	-83.782295
432.861328	-84.950493
433.593750	-85.616501
434.326172	-83.953621
435.058594	-84.334297
435.791016	-86.260445
436.523438	-86.366272
437.255859	-83.888443
437.988281	-71.259933
438.720703	-68.949333
439.453125	-72.232315
440.185547	-70.855606
440.917969	-75.649071
441.650391	-85.288124
442.382813	-85.827759
443.115234	-86.131615
443.847656	-84.525986
444.580078	-85.762680
445.312500	-85.853302
446.044922	-86.817345
446.777344	-89.018684
447.509766	-87.767975
448.242188	-88.245750
448.974609	-89.854797
449.707031	-88.824310
450.439453	-87.745178
451.171875	-91.312653
451.904297	-89.499176
452.636719	-86.527763
453.369141	-85.419556
454.101563	-84.823540
454.833984	-86.109360
455.566406	-85.872551
456.298828	-85.243935
457.031250	-87.466072
457.763672	-87.671364
458.496094	-87.671295
459.228516	-85.920357
459.960938	-84.834785
460.693359	-84.787323
461.425781	-82.913498
462.158203	-82.022293
462.890625	-81.190483
463.623047	-82.198578
464.355469	-79.977875
465.087891	-77.202682
465.820313	-78.515404
466.552734	-79.662422
467.285156	-77.779808
468.017578	-79.660332
468.750000	-79.617409
469.482422	-75.250397
470.214844	-73.201309
470.947266	-62.792404
471.679688	-46.440102
472.412109	-43.039291
473.144531	-43.272079
473.876953	-40.219021
474.609375	-43.134716
475.341797	-54.442345
476.074219	-65.393227
476.806641	-69.097626
477.539063	-74.820313
478.271484	-79.749062
479.003906	-79.446175
479.736328	-79.859772
480.468750	-81.930855
481.201172	-83.414375
481.933594	-84.565430
482.666016	-84.979332
