Frequency (Hz)	Level (dB)
0.732422	-86.811005
1.464844	-93.389389
2.197266	-91.452843
2.929688	-90.203461
3.662109	-87.827774
4.394531	-83.900673
5.126953	-83.567963
5.859375	-85.936783
6.591797	-88.129166
7.324219	-85.636330
8.056641	-86.304512
8.789063	-88.089157
9.521484	-83.504524
10.253906	-79.808830
10.986328	-80.783409
11.718750	-80.514969
12.451172	-79.032501
13.183594	-79.379616
13.916016	-77.077324
14.648438	-73.439491
15.380859	-73.633186
16.113281	-71.649834
16.845703	-66.123985
17.578125	-63.604424
18.310547	-63.014725
19.042969	-69.610382
19.775391	-70.047165
20.507813	-68.810059
21.240234	-67.809883
21.972656	-68.978249
22.705078	-71.320824
23.437500	-72.123405
24.169922	-74.356117
24.902344	-76.746620
25.634766	-75.211960
26.367188	-71.896523
27.099609	-73.015312
27.832031	-70.609077
28.564453	-68.807602
29.296875	-64.806938
30.029297	-61.248455
30.761719	-61.550591
31.494141	-61.484867
32.226563	-64.344353
32.958984	-68.206085
33.691406	-71.538734
34.423828	-68.698448
35.156250	-68.339104
35.888672	-72.549438
36.621094	-69.455849
37.353516	-66.334915
38.085938	-65.822800
38.818359	-66.389206
39.550781	-69.156227
40.283203	-69.531845
41.015625	-69.632416
41.748047	-69.270180
42.480469	-54.575237
43.212891	-49.053169
43.945313	-55.520130
44.677734	-73.026695
45.410156	-69.577698
46.142578	-68.600006
46.875000	-75.034645
47.607422	-76.105415
48.339844	-76.206543
49.072266	-77.205650
49.804688	-78.627693
50.537109	-79.167610
51.269531	-76.667969
52.001953	-75.319099
52.734375	-76.247955
53.466797	-76.242950
54.199219	-77.696342
54.931641	-78.430984
55.664063	-78.362251
56.396484	-78.423531
57.128906	-80.222656
57.861328	-80.755516
58.593750	-81.266090
59.326172	-79.278809
60.058594	-77.097580
60.791016	-77.650726
61.523438	-74.545486
62.255859	-73.896553
62.988281	-73.253883
63.720703	-72.940193
64.453125	-73.331329
65.185547	-70.781334
65.917969	-72.099396
66.650391	-73.320976
67.382813	-74.445137
68.115234	-74.608650
68.847656	-74.024719
69.580078	-74.796097
70.312500	-77.867172
71.044922	-76.531364
71.777344	-75.579193
72.509766	-75.063324
